Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
10810,Abbreviated Survey,1105552:11:44,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Jobs with low pay or no benefits;",Cumberland,No,,,,,,,,,,,,,,,,,,
10811,Abbreviated Survey,1105747:28:40,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10812,Abbreviated Survey,1105747:29:27,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Checked all;",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10813,Abbreviated Survey,1105552:12:01,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10814,Abbreviated Survey,1105908:11:00,"Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10815,Abbreviated Survey,1105387:01:50,"Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);Getting enough food;",Other,Yes,,,,,,,,,,,,,,,,,,
10816,Abbreviated Survey,1105908:33:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10817,Abbreviated Survey,1105722:42:32,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;",York,Yes,,,,,,,,,,,,,,,,,,
10818,Abbreviated Survey,1105430:54:25,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting enough food;Feeling isolated or not connected to community;",York,Yes,,,,,,,,,,,,,,,,,,
10819,Abbreviated Survey,1105747:18:07,"Paying for housing (rent, utilities, mortgage, taxes);Access to college or training after high school;",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10820,Abbreviated Survey,1105880:10:00,"Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10821,Abbreviated Survey,1105747:07:53,Dealing with current government administration;,Cumberland,Yes,,,,,,,,,,,,,,,,,,
10822,Abbreviated Survey,1105600:52:17,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Lack of stable jobs with career growth;Jobs with low pay or no benefits;Mental health challenges (like anxiety, depression);",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10823,Abbreviated Survey,1105863:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Finding affordable healthcare;Impact of flooding and other extreme weather",,,,,,,,,,,,,,,,,,,,
10824,Abbreviated Survey,1105883:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10825,Abbreviated Survey,1105747:36:04,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);",Cumberland & York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10826,Abbreviated Survey,1105553:09:53,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10827,Abbreviated Survey,1105908:49:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10828,Abbreviated Survey,1105865:39:00,"Child care that is affordable and available;Jobs with low pay or no benefits;Lack of stable jobs with career growth;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10829,Abbreviated Survey,1105864:19:00,"Paying for housing (rent, utilities, mortgage, taxes);Caring for aging parents or relatives;Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10830,Abbreviated Survey,1105908:44:00,"Lack of affordable housing before even signing a rental or purchase agreement;Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression);Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10831,Abbreviated Survey,1105431:02:10,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);",York,Yes,,,,,,,,,,,,,,,,,,
10832,Abbreviated Survey,1105770:20:59,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Access to college or training after high school;",Somerset,No,,,,,,,,,,,,,,,,,,
10833,Abbreviated Survey,1105863:21:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes)",York,Yes,,,,,,,,,,,,,,,,,,
10834,Abbreviated Survey,1105865:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Caring for aging parents or relatives;Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10835,Abbreviated Survey,1105747:20:57,Finding affordable healthcare;,Cumberland,Yes,,,,,,,,,,,,,,,,,,
10836,Abbreviated Survey,1106059:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Feeling isolated or not connected to community;Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression);Finding affordable healthcare",Cumberland,,,,,Prefer not to answer;,,,,,,,,,,,,,,
10837,Abbreviated Survey,1106073:57:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Impact of flooding and other extreme weather;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies)",,,,,,,,,,,,,,,,,,,,
10838,Abbreviated Survey,1105687:53:48,"Access to college or training after high school;Caring for aging parents or relatives;Behavioral health challenges (like substance use or addiction);Covering basic expenses (groceries, gas, emergencies);Feeling isolated or not connected to community;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10839,Abbreviated Survey,1105891:52:00,"Access to college or training after high school;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",Cumberland,No,,,,,,,,,,,,,,,,,,
10840,Abbreviated Survey,1105409:33:21,"Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);",York,Yes,,,,,,,,,,,,,,,,,,
10841,Abbreviated Survey,1105456:33:38,"Caring for aging parents or relatives;Child care that is affordable and available;Behavioral health challenges (like substance use or addiction);Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10842,Abbreviated Survey,1105904:56:00,"Caring for aging parents or relatives;Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Getting enough food",York,Yes,,,,,,,,,,,,,,,,,,
10843,Abbreviated Survey,1105875:58:00,"Caring for aging parents or relatives;Child care that is affordable and available;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10844,Abbreviated Survey,1105572:15:21,"Caring for aging parents or relatives;Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10845,Abbreviated Survey,1105863:24:00,Child care that is affordable and available,Cumberland,Yes,,,,,,,,,,,,,,,,,,
10846,Abbreviated Survey,1105404:39:17,Child care that is affordable and available;Caring for aging parents or relatives;Lack of stable jobs with career growth;,Cumberland,Yes,,,,,,,,,,,,,,,,,,
10847,Abbreviated Survey,1105552:23:05,Child care that is affordable and available;Finding affordable healthcare;,York,Yes,,,,,,,,,,,,,,,,,,
10848,Abbreviated Survey,1106025:22:00,"Child care that is affordable and available;Getting to work, school, or appointments (transportation);Getting enough food;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes)",,,,,,,,,,,,,,,,,,,,
10849,Abbreviated Survey,1106025:22:00,"Child care that is affordable and available;Getting to work, school, or appointments (transportation);Getting enough food;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes)",,,,,,,,,,,,,,,,,,,,
10850,Abbreviated Survey,1105378:18:20,"Child care that is affordable and available;Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);ICE;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10851,Abbreviated Survey,1105499:33:03,"Child care that is affordable and available;Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Lack of stable jobs with career growth;",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
10852,Abbreviated Survey,1105377:32:32,"Child care that is affordable and available;Lack of stable jobs with career growth;Getting to work, school, or appointments (transportation);Paying for housing (rent, utilities, mortgage, taxes);Finding housing ;",Other,Yes,,,,,,,,,,,,,,,,,,
10853,Abbreviated Survey,1105387:57:41,"Child care that is affordable and available;Mental health challenges (like anxiety, depression);Finding affordable healthcare;Getting enough food;ICE;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10854,Abbreviated Survey,1105409:08:42,"Child care that is affordable and available;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);",York,Yes,,,,,,,,,,,,,,,,,,
10855,Abbreviated Survey,1105409:33:33,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,No,,,,,,,,,,,,,,,,,,
10856,Abbreviated Survey,1105552:41:05,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;",York,Yes,,,,,,,,,,,,,,,,,,
10857,Full Survey,1105185:26:39,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);",York,No,,,25 - 44,White;,I am not connected with United Way,No,,,,,,,,,,,,
10858,Abbreviated Survey,1105864:53:00,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Getting enough food",York,Yes,,,,,,,,,,,,,,,,,,
10859,Abbreviated Survey,1105909:03:00,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);Impact of flooding and other extreme weather",York,Yes,,,,,,,,,,,,,,,,,,
10860,Abbreviated Survey,1105434:00:34,"Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10861,Abbreviated Survey,1105663:47:54,"Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives;Jobs with low pay or no benefits;Lack of stable jobs with career growth;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10862,Abbreviated Survey,1105699:57:50,"Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Caring for aging parents or relatives;Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);",York,Yes,,,,,,,,,,,,,,,,,,
10863,Abbreviated Survey,1105747:12:09,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Caring for aging parents or relatives;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10864,Abbreviated Survey,1105928:12:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Jobs with low pay or no benefits;Access to college or training after high school;Behavioral health challenges (like substance use or addiction)",Cumberland,,,,,,,,,,,,,,,,,,,
10865,Abbreviated Survey,1105894:18:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Jobs with low pay or no benefits;Paying for housing (rent, utilities, mortgage, taxes);Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10866,Abbreviated Survey,1105519:39:38,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10867,Abbreviated Survey,1105891:52:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10868,Abbreviated Survey,1105554:37:11,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Child care that is affordable and available;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
10869,Abbreviated Survey,1105669:46:37,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Jobs with low pay or no benefits;Feeling isolated or not connected to community;",Cumberland,Yes,,,,,,,,,,,,,,,,,,
